,statement,label,sent_transformer_label,spam_score,statistic_count,conservative_bigram_count,liberal_bigram_count,emotional_intensity
0,Says the Annies List political group supports third-trimester abortions on demand.,false,false,7.23356887454856,0.0,0.0,0.0,3.9479395499185435
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,half-true,mostly-true,0.49499441241537845,0.0,6.000057255900648,0.0,5.265310093205086
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",mostly-true,mostly-true,1.257179585252107,0.0,0.0,0.0,4.7805105541104655
3,Health care reform legislation is likely to mandate free sex change surgeries.,false,pants-fire,7.224241815585822,0.0,6.000057255900648,6.99374527117651,8.681685206655624
4,The economic turnaround started at the end of my term.,half-true,true,0.20778020849,0.0,0.0,6.99374527117651,0.0
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,true,true,6.735415902297477,0.0,0.0,0.0,6.278808949722914
6,Jim Dunnam has not lived in the district he represents for years now.,barely-true,true,0.7070957582598698,0.0,0.0,0.0,0.0
7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",half-true,true,0.7320501654453437,0.0,7.713218879282378,0.0,3.9479395499185435
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",half-true,mostly-true,8.800528941162117,6.930939069215289,6.000057255900648,0.0,0.0
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,mostly-true,true,9.999931183170782,6.930939069215289,6.000057255900648,5.255156625616282,0.0
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",mostly-true,true,7.674273735892861,0.0,6.000057255900648,5.255156625616282,7.6112373681128584
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",half-true,true,1.9528547347203808,6.930939069215289,8.492357043142379,0.0,6.7483944063364
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",false,mostly-true,0.5210437803590318,0.0,0.0,0.0,2.225535226950045
13,The economy bled $24 billion due to the government shutdown.,mostly-true,true,2.1921155848064426,6.930939069215289,7.713218879282378,0.0,0.0
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,barely-true,half-true,1.372751429488705,0.0,8.492357043142379,5.255156625616282,0.4902421140477533
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",half-true,true,8.3214064837974,9.061250063337228,8.492357043142379,5.255156625616282,0.0
16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,true,true,1.8798324303250111,0.0,0.0,5.255156625616282,0.0
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",barely-true,half-true,0.6641728589960567,0.0,6.000057255900648,0.0,8.40783205942765
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",half-true,barely-true,9.616576289346456,6.930939069215289,8.492357043142379,0.0,0.0
19,"Almost 100,000 people left Puerto Rico last year.",mostly-true,true,1.1027738528225726,6.930939069215289,6.000057255900648,0.0,0.0
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,false,false,1.013222252592655,0.0,0.0,0.0,0.0
21,The United States has the highest corporate tax rate in the free world.,mostly-true,half-true,2.2693487699126385,0.0,0.0,6.99374527117651,8.467749745167676
22,We just had the best year for the auto industry in America in history.,mostly-true,true,0.4788040855221305,0.0,6.000057255900648,6.99374527117651,7.8039073117022735
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",half-true,false,3.123322005339558,6.930939069215289,6.000057255900648,5.255156625616282,7.280465689325043
24,Says Mitt Romney wants to get rid of Planned Parenthood.,barely-true,half-true,0.5256788145291313,0.0,0.0,0.0,0.0
25,I dont know who (Jonathan Gruber) is.,false,mostly-true,0.13944324621629445,0.0,0.0,0.0,0.0
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,mostly-true,mostly-true,1.7173192534639274,0.0,7.713218879282378,5.255156625616282,7.280465689325043
